Brightness,TRADFRI bulb E27 W opal 1000lm,TRADFRI bulb E14 WS opal 400lm,LTW010,LTW012,LST002 - 2.0m,LST002 2.7m,LST002 4.0m
Rated power (W),12.5,5.3,9,6,20.5,28.55,43.5
100%,12.80,4.40,6.80,4.47,16.70,21.60,23.00
95%,,,,,,19.50,
90%,10.30,,,3.70,13.50,17.50,18.50
85%,,,,,,15.60,
80%,7.50,2.80,4.60,3.10,10.70,13.80,14.60
75%,,,,,,12.10,
70%,5.60,,,2.53,8.20,10.50,11.10
65%,,,,,,9.20,
60%,4.20,1.80,3.00,2.07,6.00,7.80,8.20
50%,,,,,,5.40,5.80
40%,2.40,1.30,1.70,1.33,2.60,3.50,3.70
30%,,,,,,,
20%,1.50,1.00,1.10,0.87,,1.10,1.00
10%,1.20,,,0.77,,,
0%,0.30,0.40,0.30,0.27,0.10,0.10,0.10
